REINE BLANCHE,21:28,21:58
MAILLE,21:36,22:10
DE GAULLE,21:18,21:48
LAROUSSE,21:27,21:57
J. D ARC,21:20,21:50
GARE CARNOT,21:19,21:49
BEURNONVILLE,21:14,21:44,22:18
POMPIDOU,21:12,21:42,22:16
TERRASSES,21:13,21:43,22:17
PALAIS DE JUSTICE,21:18,21:48
POINCARE,21:15,21:45,22:19
HALLE,21:18,21:48,22:22
TANNERIES,21:16,21:46,22:20
LOMBARDS,21:26,21:56
SOMME,21:37,22:11
CRONCELS,21:36,22:10
CROIX ROUGE,21:29,21:59
SUP DE CO,21:11,21:41,21:41,22:15,22:15
TECHNOPOLE,21:34,22:08
GILLON,21:23,21:53
VERDUN,21:24,21:54
UTT,21:31,22:01
LANGEVIN,21:16,21:46,22:20
HERRIOT,21:25,21:55
HAUTS CLOS,21:26,21:56
