PHILBOIS,06:06,06:39,07:11,07:39,08:11,08:39,09:14,09:50,10:27,11:04,11:39,12:14,12:40,13:14,13:41,14:14,14:44,15:14,15:43,16:15,16:46,17:17,17:47,18:17,19:02,19:31,20:00
FONTAINE,06:10,06:43,07:15,07:43,08:15,08:43,09:18,09:54,10:31,11:08,11:43,12:18,12:44,13:18,13:45,14:18,14:48,15:18,15:47,16:19,16:51,17:22,17:52,18:22,19:06,19:35,20:04
SIRETTES,06:30,07:01,07:29,08:01,08:29,09:05,09:41,10:18,10:55,11:30,12:05,12:31,13:04,13:31,14:05,14:35,15:05,15:34,16:06,16:36,17:07,17:38,18:08,18:53,19:23,19:52
CHAILLOUET,06:05,06:38,07:10,07:38,08:10,08:38,09:13,09:49,10:26,11:03,11:38,12:13,12:39,13:13,13:40,14:13,14:43,15:13,15:42,16:14,16:45,17:16,17:46,18:16,19:01,19:30,19:59
MALRAUX,06:36,07:07,07:35,08:07,08:35,09:11,09:47,10:24,11:01,11:36,12:11,12:37,13:10,13:37,14:11,14:41,15:11,15:40,16:12,16:42,17:13,17:44,18:14,18:59,19:28,19:57
TIRVERTS,06:35,07:06,07:34,08:06,08:34,09:10,09:46,10:23,11:00,11:35,12:10,12:36,13:09,13:36,14:10,14:40,15:10,15:39,16:11,16:41,17:12,17:43,18:13,18:58,19:27,19:56
THEATRE DE CHAMP.,06:08,06:41,07:13,07:41,08:13,08:41,09:16,09:52,10:29,11:06,11:41,12:16,12:42,13:16,13:43,14:16,14:46,15:16,15:45,16:17,16:49,17:20,17:50,18:20,19:04,19:33,20:02
MAZEES,06:32,07:03,07:31,08:03,08:31,09:07,09:43,10:20,10:57,11:32,12:07,12:33,13:06,13:33,14:07,14:37,15:07,15:36,16:08,16:38,17:09,17:40,18:10,18:55,19:25,19:54
CROIX,06:31,07:02,07:30,08:02,08:30,09:06,09:42,10:19,10:56,11:31,12:06,12:32,13:05,13:32,14:06,14:36,15:06,15:35,16:07,16:37,17:08,17:39,18:09,18:54,19:24,19:53
TOUR,06:07,06:40,07:12,07:40,08:12,08:40,09:15,09:51,10:28,11:05,11:40,12:15,12:41,13:15,13:42,14:15,14:45,15:15,15:44,16:16,16:48,17:19,17:49,18:19,19:03,19:32,20:01
P. STE MARIE EUREKA,06:30,07:01,07:29,08:01,08:29,09:05,09:41,10:18,10:55,11:30,12:05,12:31,13:04,13:31,14:05,14:35,15:05,15:34,16:06,16:36,17:07,17:38,18:08,18:53,19:23,19:52
MERY,06:31,07:03,07:31,08:03,08:31,09:06,09:42,10:19,10:56,11:31,12:06,12:32,13:06,13:33,14:06,14:36,15:06,15:35,16:07,16:38,17:09,17:39,18:09,18:54,19:24,19:53
BERTHOLLET,06:37,07:09,07:37,08:09,08:37,09:12,09:48,10:25,11:02,11:37,12:12,12:38,13:12,13:39,14:12,14:42,15:12,15:41,16:13,16:44,17:15,17:45,18:15,19:00,19:29,19:58
