EGALITE,06:11,06:41,07:12,07:45,08:18,08:51,09:58,11:06,11:49,12:16,13:00,13:33,14:10,14:45,15:22,15:57,16:34,17:10,17:47,18:23,18:58,19:30,20:00
REINE BLANCHE,06:13,06:43,07:15,07:48,08:21,08:54,10:01,11:09,11:52,12:19,13:03,13:36,14:13,14:48,15:25,16:00,16:37,17:13,17:50,18:26,19:01,19:32,20:02
JACQUARD,06:18,06:48,07:20,07:53,08:26,08:59,10:06,11:14,11:57,12:24,13:08,13:41,14:18,14:53,15:30,16:05,16:42,17:18,17:55,18:31,19:06,19:37,20:07
GUIBOUT,06:05,06:35,07:06,07:39,08:12,08:45,09:52,11:00,11:43,12:10,12:53,13:26,14:03,14:38,15:15,15:50,16:27,17:03,17:40,18:17,18:52,19:24,19:54
MISSION,06:18,06:49,07:21,07:54,08:27,09:00,10:07,11:15,11:58,12:25,13:09,13:42,14:19,14:54,15:31,16:06,16:43,17:19,17:56,18:32,19:07,19:37,20:07
BERTHELIN DE ROS.,06:07,06:37,07:08,07:41,08:14,08:47,09:54,11:02,11:45,12:12,12:55,13:28,14:05,14:40,15:17,15:52,16:29,17:05,17:42,18:19,18:54,19:26,19:56
CHENE,06:09,06:39,07:10,07:43,08:16,08:49,09:56,11:04,11:47,12:14,12:57,13:30,14:07,14:42,15:19,15:54,16:31,17:07,17:44,18:21,18:56,19:28,19:58
ROLLIN,06:17,06:47,07:19,07:52,08:25,08:58,10:05,11:13,11:56,12:23,13:07,13:40,14:17,14:52,15:29,16:04,16:41,17:17,17:54,18:30,19:05,19:36,20:06
LAROUSSE,06:14,06:44,07:16,07:49,08:22,08:55,10:02,11:10,11:53,12:20,13:04,13:37,14:14,14:49,15:26,16:01,16:38,17:14,17:51,18:27,19:02,19:33,20:03
BEURNONVILLE,06:22,06:53,07:25,07:58,08:31,09:04,10:11,11:19,12:02,12:29,13:13,13:47,14:24,14:59,15:36,16:11,16:48,17:24,18:00,18:36,19:11,19:41,20:11
PARGEAS,06:20,06:51,07:23,07:56,08:29,09:02,10:09,11:17,12:00,12:27,13:11,13:44,14:21,14:56,15:33,16:08,16:45,17:21,17:58,18:34,19:09,19:39,20:09
CHARTREUX,06:00,06:30,07:01,07:34,08:07,08:40,09:47,10:55,11:38,12:05,12:48,13:20,13:57,14:32,15:09,15:44,16:22,16:58,17:35,18:12,18:47,19:20,19:50
THIERS,06:17,06:47,07:19,07:52,08:25,08:58,10:05,11:13,11:56,12:23,13:07,13:40,14:17,14:52,15:29,16:04,16:41,17:17,17:54,18:30,19:05,19:36,20:06
POINCARE,06:23,06:54,07:26,07:59,08:32,09:05,10:12,11:20,12:03,12:30,13:14,13:48,14:25,15:00,15:37,16:12,16:49,17:25,18:01,18:37,19:12,19:42,20:12
HALLE,06:25,06:57,07:29,08:02,08:35,09:08,10:15,10:58,11:23,12:06,12:33,13:17,13:51,14:28,15:03,15:41,16:16,16:53,17:29,18:05,18:40,19:15,19:45,20:15
PASCAL,06:16,06:46,07:18,07:51,08:24,08:57,10:04,11:12,11:55,12:22,13:06,13:39,14:16,14:51,15:28,16:03,16:40,17:16,17:53,18:29,19:04,19:35,20:05
INGRES,06:01,06:31,07:02,07:35,08:08,08:41,09:48,10:56,11:39,12:06,12:49,13:22,13:59,14:34,15:11,15:46,16:23,16:59,17:36,18:13,18:48,19:21,19:51
CHASSE AUX LOUPS,06:00,06:30,07:01,07:34,08:07,08:40,09:47,10:55,11:38,12:05,12:48,13:20,13:57,14:32,15:09,15:44,16:22,16:58,17:35,18:12,18:47,19:20,19:50
BEAUSEJOUR,06:19,06:50,07:22,07:55,08:28,09:01,10:08,11:16,11:59,12:26,13:10,13:43,14:20,14:55,15:32,16:07,16:44,17:20,17:57,18:33,19:08,19:38,20:08
LIBERTE,06:04,06:34,07:05,07:38,08:11,08:44,09:51,10:59,11:42,12:09,12:52,13:25,14:02,14:37,15:14,15:49,16:26,17:02,17:39,18:16,18:51,19:23,19:53
LOMBARDS,06:15,06:45,07:17,07:50,08:23,08:56,10:03,11:11,11:54,12:21,13:05,13:38,14:15,14:50,15:27,16:02,16:39,17:15,17:52,18:28,19:03,19:34,20:04
CHARMES,06:05,06:08,06:35,06:38,07:06,07:09,07:39,07:42,08:12,08:15,08:45,08:48,09:52,09:55,11:00,11:03,11:43,11:46,12:10,12:13,12:53,12:56,13:26,13:29,14:03,14:06,14:38,14:41,15:15,15:18,15:50,15:53,16:27,16:30,17:03,17:06,17:40,17:43,18:17,18:20,18:52,18:55,19:24,19:27,19:54,19:57
CROIX ROUGE,06:12,06:42,07:14,07:47,08:20,08:53,10:00,11:08,11:51,12:18,13:02,13:35,14:12,14:47,15:24,15:59,16:36,17:12,17:49,18:25,19:00,19:31,20:01
ST POUANGE,06:06,06:07,06:36,06:37,07:07,07:08,07:40,07:41,08:13,08:14,08:46,08:47,09:53,09:54,11:01,11:02,11:44,11:45,12:11,12:12,12:54,12:55,13:27,13:28,14:04,14:05,14:39,14:40,15:16,15:17,15:51,15:52,16:28,16:29,17:04,17:05,17:41,17:42,18:18,18:19,18:53,18:54,19:25,19:26,19:55,19:56
LAVOIR,06:02,06:32,07:03,07:36,08:09,08:42,09:49,10:57,11:40,12:07,12:50,13:23,14:00,14:35,15:12,15:47,16:24,17:00,17:37,18:14,18:49,19:21,19:51
TERRASSES,06:21,06:52,07:24,07:57,08:30,09:03,10:10,11:18,12:01,12:28,13:12,13:45,14:22,14:57,15:34,16:09,16:46,17:22,17:59,18:35,19:10,19:40,20:10
BOIS CASAL,06:09,06:39,07:11,07:44,08:17,08:50,09:57,11:05,11:48,12:15,12:58,13:31,14:08,14:43,15:20,15:55,16:32,17:08,17:45,18:22,18:57,19:28,19:58
TANNERIES,06:23,06:55,07:27,08:00,08:33,09:06,10:13,10:55,11:21,12:04,12:31,13:15,13:49,14:26,15:01,15:38,16:13,16:50,17:26,18:02,18:38,19:13,19:43,20:13
UTT,06:11,06:41,07:13,07:46,08:19,08:52,09:59,11:07,11:50,12:17,13:00,13:33,14:10,14:45,15:22,15:57,16:34,17:10,17:47,18:24,18:59,19:30,20:00
ROIZES,06:03,06:33,07:04,07:37,08:10,08:43,09:50,10:58,11:41,12:08,12:51,13:24,14:01,14:36,15:13,15:48,16:25,17:01,17:38,18:15,18:50,19:22,19:52
LANGEVIN,06:24,06:55,07:27,08:00,08:33,09:06,10:13,10:55,11:21,12:04,12:31,13:15,13:49,14:26,15:01,15:39,16:14,16:51,17:27,18:03,18:38,19:13,19:43,20:13
